column,dtype,n_nonnull,n_unique,example
incident_key,str,5576,5576,0004894d4bb6897
Report ID,str,5576,5576,13781-3301
Report Version,int64,5576,7,2
Reporting Entity,str,5576,56,"Tesla, Inc."
Report Type,str,5576,5,10-Day Update
Report Month,float64,5576,12,7.0
Report Year,float64,5576,6,2024.0
Report Submission Date,str,5576,55,JUL-2022
VIN,str,5559,1613,5YJ3E1EBXMF
VIN Decoded,str,5576,4, 
Serial Number,str,694,2,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]
Make,str,5576,80,Tesla
Make - Unknown,str,5576,2,Unknown
Model,str,5576,241,Model 3
Model - Unknown,str,5576,2, 
Model Year,float64,5576,13,2021.0
Model Year - Unknown,str,5576,2, 
Same Vehicle ID,str,5576,5001,bfdb35901b2efda
Driver / Operator Type,str,5576,6,Consumer
Automation Feature Version,str,5576,75,Unknown
Automation Feature Version CBI,str,5576,3,Unknown
Automation System Engaged?,str,5576,3,ADAS
Engagement Status,str,5576,5,Unknown
Operating Entity,str,5576,89,Unknown
Operating Entity - Unknown,str,5576,2, 
Source - Complaint/Claim,str,5576,2, 
Source - Telematics,str,5576,2,Y
Source - Law Enforcement,str,5576,2, 
Source - Field Report,str,5576,2, 
Source - Testing,str,5576,2, 
Source - Media,str,5576,2, 
Source - Internal Process Review,str,5576,3,Unknown
Source - NHTSA VOQ,str,5576,3,Unknown
Source - Other - See Narrative,str,5576,2,Unknown
Source - Other Entity,str,5576,3,Unknown
Source - State or Other Agency,str,5576,2,Unknown
Incident Date,str,5576,69,JUL-2022
Incident Date - Unknown,str,5576,2, 
Incident Time (24:00),str,5576,1446,11:46
Incident Time - Unknown,str,5576,2, 
Same Incident ID,str,5576,5541,0004894d4bb6897
Latitude,str,5576,2,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]
Latitude - Unknown,str,5576,2, 
Longitude,str,5576,2,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]
Longitude - Unknown,str,5576,2, 
Address,str,4889,1,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]
Address - Unknown,str,5576,2, 
City,str,5576,1739,Santa Monica
City - Unknown,str,5576,2, 
State,str,5576,101,CA 
Zip Code,str,5576,2,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]
Zip Code - Unknown,str,5576,2, 
Roadway Type,str,5576,8,Intersection
Roadway-Degraded Surface,str,5576,3,Unknown
