feature,coefficient,odds_ratio
Crash With_Animal,-0.8572501745912479,0.4243273055096566
Crash With_Heavy Truck,0.7284034524208042,2.0717702859994898
SV Pre-Crash Movement_Lane / Road Departure,0.7079715547864028,2.0298696005057586
CP Pre-Crash Movement_Proceeding Straight,0.6813462417094615,1.9765368382610713
Crash With_Motorcycle,-0.6309622441218562,0.5320795641649985
Roadway Type_Highway / Freeway,-0.6202024629596367,0.5378355347964824
CP Pre-Crash Movement_Traveling Wrong Way,0.5703922244751206,1.7689607450827773
Crash With_Non-Motorist: Cyclist,-0.5538449507821525,0.5747357260062109
Crash With_Non-Motorist: Other,-0.5125866260328268,0.5989443284327243
CP Pre-Crash Movement_Entering Traffic,-0.5123673335190331,0.5990756868425603
CP Pre-Crash Movement_Making Left Turn,0.5122408803823727,1.6690270976077377
CP Pre-Crash Movement_Parking Maneuver,-0.5121835437645109,0.5991858009345964
Crash With_Pickup Truck,0.5115864635790833,1.6679352155418712
"Automation System Engaged?_Unknown, see Narrative",-0.4726349486334181,0.623357587186688
CP Pre-Crash Movement_Lane / Road Departure,-0.454226662946414,0.6349387998351956
CP Pre-Crash Movement_Unknown,0.43499330122124336,1.5449527096202833
Crash With_Bus,0.3914998091086277,1.4791976451418776
Weather - Clear_ ,-0.36741194074782485,0.6925243072962696
Weather - Clear_Y,0.36008539717194826,1.433451822065367
"Crash With_Other, see Narrative",0.3501670578753646,1.4193046348059322
Crash With_Passenger Car,0.34039076051145317,1.4054966958799975
Roadway Type_Intersection,0.33552170533688785,1.3986698884584083
SV Pre-Crash Movement_Making Left Turn,0.33425247831961924,1.3968957849559493
CP Pre-Crash Movement_Merging,-0.3323888866179384,0.7172083558828215
Report Month,0.33200647257827914,1.3937618697161256
Automation System Engaged?_ADS,0.31392831726904374,1.3687916143095589
Crash With_Other Fixed Object,0.31047296465227714,1.3640701185373076
Crash With_Non-Motorist: Pedestrian,-0.29519114941627694,0.7443892842885834
SV Pre-Crash Movement_Stopped,-0.2897246512652104,0.7484696293733124
Crash With_SUV,0.28105350070764035,1.3245244650358472
SV Pre-Crash Movement_Making Right Turn,-0.2799466491918805,0.7558240642047118
CP Pre-Crash Movement_Backing,-0.27831559350127416,0.7570578612680638
SV Precrash Speed (MPH),0.2714860467026631,1.3119125662226574
Weather - Cloudy_ ,-0.27038812309962645,0.76308326661145
Weather - Cloudy_Y,0.26306157952375087,1.3009068257080023
nav_av_stopped,-0.23768883526427922,0.788447990138066
CP Pre-Crash Movement_Crossing into Opposing Lane,0.22860173840492615,1.2568413876655486
nav_av_disengaged,-0.22793556224785738,0.7961755619460623
nav_av_changing_lanes,-0.22329086087254127,0.799882161032951
SV Pre-Crash Movement_Parking Maneuver,-0.21927746649840846,0.8030988542094639
nav_lane_change,0.217700737118402,1.2432149638508883
nav_left_turn,-0.21715345781064233,0.8048064559914753
SV Pre-Crash Movement_Entering Traffic,-0.21227212453358443,0.8087445883754021
CP Pre-Crash Movement_Parked,0.2068585797119852,1.2298086395902583
Roadway Type_Street,0.20570280223181242,1.228388075545799
nav_minor_damage_lang,-0.1916433195520718,0.8256012918196151
nav_av_turning,0.18807356131354952,1.2069222948735592
Weather - Rain_ ,-0.18453044113269476,0.8314946278758405
nav_rear_approach,-0.18099307097018788,0.8344411405432975
Weather - Rain_Y,0.17720389755682137,1.193874496404597
nav_at_intersection,0.1746316715572653,1.19080752754427
SV Pre-Crash Movement_Merging,-0.17202624249072557,0.8419570778277765
SV Pre-Crash Movement_Crossing into Opposing Lane,-0.1708749198857765,0.8429270002835612
"SV Pre-Crash Movement_Other, see Narrative",0.15847092923062728,1.1717178609903733
CP Pre-Crash Movement_Making U-Turn,-0.15805312770889046,0.8538044200908261
SV Pre-Crash Movement_Changing Lanes,-0.1552325702666533,0.8562160239369146
Automation System Engaged?_ADAS,0.15138008778850154,1.16343878292743
CP Pre-Crash Movement_Changing Lanes,-0.15120758726888733,0.8596692237489822
nav_in_parking_lot,0.14965360541012707,1.1614318593280128
nav_av_struck_other,0.14721856129573857,1.1586071620416831
CP Pre-Crash Movement_NM in Roadway - Other,-0.14556537769742292,0.8645333670254188
Crash With_First Responder Vehicle,-0.12971448571564598,0.8783461755029918
nav_large_vehicle,0.12850790913299648,1.1371304149713355
SV Pre-Crash Movement_Unknown,0.11789786940554535,1.1251291953856604
nav_speed_mentioned,0.11535368224697597,1.1222702944666436
nav_av_moving,0.11178507432603625,1.118272489346541
nav_vulnerable_user,-0.10730766201909424,0.8982492732885707
SV Pre-Crash Movement_Proceeding Straight,0.10635574027078526,1.1122174666814504
Crash With_Van,0.0981915436227586,1.1031740708307056
nav_hazard_lights,0.09739378302823283,1.1022943529768694
Weather - Fog/Smoke/Haze_Y,-0.07855803132266584,0.9244484114108704
Weather - Fog/Smoke/Haze_ ,0.07123148774679082,1.0738297755343218
nav_on_highway,0.07014534220590003,1.0726640732876973
nav_other_struck_av,-0.0699354270487855,0.932454029270521
nav_emergency_vehicle,-0.06929297513521017,0.933053278619781
