n_estimators,max_depth,min_leaf,threshold,precision,recall,f1,TP,FP,FN,TN
100,None,1,0.2,0.49162011173184356,0.8888888888888888,0.6330935251798562,88,91,11,190
100,None,1,0.22,0.5180722891566265,0.8686868686868687,0.6490566037735849,86,80,13,201
100,None,1,0.24,0.5443037974683544,0.8686868686868687,0.6692607003891051,86,72,13,209
100,None,1,0.26,0.5733333333333334,0.8686868686868687,0.6907630522088353,86,64,13,217
100,None,1,0.28,0.5985915492957746,0.8585858585858586,0.7053941908713692,85,57,14,224
100,None,1,0.3,0.6176470588235294,0.8484848484848485,0.7148936170212765,84,52,15,229
100,None,1,0.32,0.6612903225806451,0.8282828282828283,0.73542600896861,82,42,17,239
100,None,1,0.34,0.6956521739130435,0.8080808080808081,0.7476635514018692,80,35,19,246
100,None,1,0.36,0.7452830188679245,0.797979797979798,0.7707317073170732,79,27,20,254
100,None,1,0.38,0.76,0.7676767676767676,0.763819095477387,76,24,23,257
100,None,1,0.4,0.7684210526315789,0.7373737373737373,0.7525773195876289,73,22,26,259
100,None,1,0.42,0.7727272727272727,0.6868686868686869,0.7272727272727273,68,20,31,261
100,None,1,0.44,0.7710843373493976,0.6464646464646465,0.7032967032967034,64,19,35,262
100,None,1,0.46,0.7692307692307693,0.6060606060606061,0.6779661016949152,60,18,39,263
100,None,1,0.48,0.7464788732394366,0.5353535353535354,0.6235294117647059,53,18,46,263
100,None,1,0.5,0.7575757575757576,0.5050505050505051,0.6060606060606061,50,16,49,265
100,None,1,0.52,0.746031746031746,0.47474747474747475,0.5802469135802469,47,16,52,265
100,None,1,0.54,0.7627118644067796,0.45454545454545453,0.569620253164557,45,14,54,267
100,None,1,0.56,0.7636363636363637,0.42424242424242425,0.5454545454545455,42,13,57,268
100,None,1,0.58,0.7843137254901961,0.40404040404040403,0.5333333333333333,40,11,59,270
100,None,1,0.6,0.7708333333333334,0.37373737373737376,0.5034013605442177,37,11,62,270
100,None,1,0.62,0.7777777777777778,0.35353535353535354,0.48611111111111116,35,10,64,271
100,None,1,0.64,0.7857142857142857,0.3333333333333333,0.4680851063829786,33,9,66,272
100,None,1,0.66,0.8484848484848485,0.2828282828282828,0.42424242424242425,28,5,71,276
100,None,1,0.68,0.8666666666666667,0.26262626262626265,0.40310077519379856,26,4,73,277
100,None,1,0.7,0.8888888888888888,0.24242424242424243,0.38095238095238093,24,3,75,278
100,None,1,0.72,0.8695652173913043,0.20202020202020202,0.32786885245901637,20,3,79,278
100,None,1,0.74,0.9047619047619048,0.1919191919191919,0.31666666666666665,19,2,80,279
100,None,1,0.76,0.8888888888888888,0.16161616161616163,0.27350427350427353,16,2,83,279
100,None,1,0.78,0.875,0.1414141414141414,0.2434782608695652,14,2,85,279
100,None,1,0.8,0.8461538461538461,0.1111111111111111,0.19642857142857145,11,2,88,279
100,None,5,0.2,0.32142857142857145,1.0,0.4864864864864865,99,209,0,72
100,None,5,0.22,0.3344594594594595,1.0,0.5012658227848101,99,197,0,84
100,None,5,0.24,0.34256055363321797,1.0,0.5103092783505154,99,190,0,91
