feature,coefficient,odds_ratio
automation_level_L2,2.1348727424589398,8.455970352394298
automation_level_ADS,-2.0714970256852148,0.12599701967477392
Crash With_Non-Motorist: Cyclist,-1.938904933745134,0.14386140131799544
Crash With_Non-Motorist: Pedestrian,-1.7586577732691433,0.17227594208319724
CP Pre-Crash Movement_Unknown,1.3054989434146536,3.689529500984977
Crash With_Bus,1.214602730383935,3.368955414812642
CP Pre-Crash Movement_Parking Maneuver,-1.1210452817002805,0.3259389185113667
Crash With_Unknown,1.1162868942384887,3.0534951771759404
CP Pre-Crash Movement_Merging,-0.9836320132485995,0.3739504364357519
Crash With_Pole / Tree,0.9639630600500797,2.622067319950081
Crash With_Heavy Truck,0.853538890222404,2.347941273160822
CP Pre-Crash Movement_Traveling Wrong Way,0.8489689098786918,2.3372357084363533
SV Pre-Crash Movement_Parking Maneuver,-0.7477543715188066,0.47342850445364715
Crash With_Animal,-0.708771762684104,0.4922484242013856
CP Pre-Crash Movement_Backing,-0.6785233153669613,0.5073656585289166
SV Pre-Crash Movement_Unknown,0.6354959157287217,1.8879581774974468
Crash With_Pickup Truck,0.596277558259916,1.8153486778235142
SV Precrash Speed (MPH),0.5523583649200614,1.7373454848507903
SV Pre-Crash Movement_Passing,0.5499692611038973,1.7331997404018087
"CP Pre-Crash Movement_Other, see Narrative",0.5301802705779477,1.6992386037348888
Roadway Type_Highway / Freeway,-0.5283541433322334,0.5895745267495012
CP Pre-Crash Movement_Entering Traffic,-0.5182161908205504,0.5955820056185224
Crash With_Passenger Car,0.4885863679722298,1.6300103556731964
Crash With_Non-Motorist: Other,-0.4725493656482425,0.6234109382727713
Weather - Clear_Y,0.46735645923547553,1.5957701290474218
Roadway Type_Unknown,-0.4653581301252112,0.6279101913623821
Weather - Cloudy_Y,0.44720575048994515,1.5639360467933001
Weather - Rain_Y,0.4446273600219844,1.5599088031322073
SV Pre-Crash Movement_Making Right Turn,-0.4429269248204488,0.6421541309017065
SV Pre-Crash Movement_Entering Traffic,-0.42534101715298256,0.6535468764290218
Roadway Type_Intersection,0.42112949589590465,1.523681576144631
SV Pre-Crash Movement_Stopped,-0.4146890387706506,0.6605456528601938
Weather - Clear_ ,-0.4039807424617549,0.667656978574928
SV Pre-Crash Movement_Lane / Road Departure,0.3935582523018659,1.4822456254368808
Roadway Type_Parking Lot,0.3913880706367797,1.4790323710913553
Weather - Cloudy_ ,-0.3838300337162154,0.6812472063959966
Weather - Rain_ ,-0.38125164324825356,0.6830059941456956
"Crash With_Other, see Narrative",-0.3693830968447842,0.6911605782885831
CP Pre-Crash Movement_Making Left Turn,0.3675685273753996,1.4442187636599773
CP Pre-Crash Movement_NM Crossing Roadway,0.363849425644126,1.4388575427981791
CP Pre-Crash Movement_NM in Roadway - Other,0.3395957240108378,1.404379718782895
SV Pre-Crash Movement_Proceeding Straight,0.3170600578369102,1.373085033966222
Crash With_Other Fixed Object,-0.30996117436600706,0.733475433320182
CP Pre-Crash Movement_Passing,-0.30976774692333364,0.7336173213195869
CP Pre-Crash Movement_Crossing into Opposing Lane,0.2858462124030863,1.3308877654821059
