feature,coefficient,odds_ratio
Crash With_Non-Motorist: Pedestrian,-1.458623276835932,0.2325562199761977
Crash With_Non-Motorist: Cyclist,-1.3615431981531407,0.2562650039731868
SV Pre-Crash Movement_Making Left Turn,-1.2224406493335964,0.2945104922079063
Crash With_Passenger Car,1.1591423186222263,3.187198502698681
CP Pre-Crash Movement_Unknown,1.099826633918465,3.0036452485982763
Roadway Type_Intersection,1.0130799482796806,2.7540703600170153
Crash With_Unknown,1.0101202864218146,2.745931293402348
Roadway Type_Street,-0.8151795918308287,0.4425598400919993
CP Pre-Crash Movement_Proceeding Straight,-0.7884224674945414,0.4545613152174964
"Crash With_Other, see Narrative",-0.7316873326113585,0.4810965349692879
CP Pre-Crash Movement_Making Left Turn,0.6448081544503695,1.9056214092151154
CP Pre-Crash Movement_Parked,-0.6172239067765485,0.5394398963084551
SV Pre-Crash Movement_Proceeding Straight,0.6104584071466327,1.8412752590887467
SV Pre-Crash Movement_Parking Maneuver,-0.6035580680433278,0.5468623967693312
CP Pre-Crash Movement_NM Crossing Roadway,-0.5654755829135493,0.5680899086484074
SV Precrash Speed (MPH),0.5559977248982356,1.7436798299661675
CP Pre-Crash Movement_Lane / Road Departure,-0.5333539239183832,0.5866341402455147
Crash With_Pole / Tree,0.5185428500351607,1.6795784680141312
CP Pre-Crash Movement_Stopped,-0.4983104827815027,0.6075562698547975
Weather - Clear_Y,0.48824977351109655,1.629461795542217
Weather - Clear_ ,-0.4868493650456366,0.614559600129848
CP Pre-Crash Movement_Changing Lanes,0.4805251277642531,1.6169232705932592
Crash With_Animal,0.46749859988609527,1.5959969689730094
SV Pre-Crash Movement_Unknown,0.4213157369235613,1.5239653745938306
Weather - Rain_Y,0.4212407608644707,1.5238511179591627
Weather - Rain_ ,-0.4198403523990219,0.6571517241372095
Roadway Type_Highway / Freeway,-0.410949292491114,0.6630205508688203
"SV Pre-Crash Movement_Other, see Narrative",0.4018739156098932,1.4946228721820505
Report Month,0.40076272285757225,1.4929629804796392
Roadway Type_Unknown,-0.3909647830725437,0.6764039764896164
Weather - Cloudy_Y,0.33072148676158,1.3919720556707924
Weather - Cloudy_ ,-0.3293210782961263,0.7194119920839264
Crash With_SUV,-0.2901745112111615,0.7481329985903266
Roadway Type_Rural Road,0.2830863571574055,1.3272197717951346
Crash With_Pickup Truck,0.26828927423953525,1.3077253765690806
Roadway Type_Parking Lot,0.2641968319168548,1.3023845219154662
Crash With_First Responder Vehicle,0.2317813043130568,1.2608439575390107
Automation System Engaged?_ADAS,0.2203901928443946,1.2465630356814366
"Automation System Engaged?_Unknown, see Narrative",-0.21898978437894376,0.8033299246258024
"CP Pre-Crash Movement_Other, see Narrative",0.18267939449175657,1.200429482075218
Weather - Snow_Y,0.17879819044018552,1.1957794001015631
Weather - Snow_ ,-0.17739778197472772,0.8374465970982886
Crash With_Heavy Truck,-0.17612914055804046,0.8385096907353571
CP Pre-Crash Movement_Traveling Wrong Way,0.16969457778629152,1.1849428881673634
SV Pre-Crash Movement_Lane / Road Departure,0.16207383906870237,1.1759470689517393
Weather - Fog/Smoke/Haze_Y,0.14748410138718937,1.1589148595446508
Weather - Fog/Smoke/Haze_ ,-0.1460836929217333,0.864085382328039
CP Pre-Crash Movement_Merging,0.11569814836225131,1.1226569451454729
Crash With_Van,0.10115060565529164,1.1064432658289385
Crash With_Motorcycle,0.09595027964752299,1.100704335225903
SV Pre-Crash Movement_Changing Lanes,0.09184284797908927,1.0961925396709906
Crash With_Bus,0.08908897560370355,1.0931779181645247
Crash With_Other Fixed Object,0.07799337341067478,1.0811154945379509
CP Pre-Crash Movement_Crossing into Opposing Lane,0.05286762895932919,1.0542900784074165
SV Pre-Crash Movement_Making Right Turn,-0.05202731576152299,0.949302935556124
CP Pre-Crash Movement_Making Right Turn,0.05055928667121707,1.05185922273835
CP Pre-Crash Movement_NM Moving on Sidewalk,0.05032735455944502,1.0516152910964174
SV Pre-Crash Movement_Merging,0.049498921718768,1.0507444592161834
CP Pre-Crash Movement_Passing,0.04799029212342554,1.0491604701546813
SV Pre-Crash Movement_Crossing into Opposing Lane,0.0469173612298236,1.0480353971446317
SV Pre-Crash Movement_Passing,0.044461056584519806,1.0454642619685517
CP Pre-Crash Movement_Making U-Turn,0.037869735368617576,1.0385959317500086
CP Pre-Crash Movement_NM in Roadway - Other,0.0340884416194526,1.034676111112536
Roadway Type_Traffic Circle,0.03179734531470838,1.0323082819957807
CP Pre-Crash Movement_Backing,0.03054262814471564,1.0310138393191826
Roadway Type_Unpaved Road,0.026333593191281816,1.0266833859400146
SV Pre-Crash Movement_Making U-Turn,0.024735456584876057,1.0250439160351297
SV Pre-Crash Movement_Stopped,0.015179279518351366,1.015295069911439
SV Pre-Crash Movement_Backing,0.01106961923967985,1.011131114173767
CP Pre-Crash Movement_Entering Traffic,0.006709368130390115,1.0067319263630201
Roadway-Traffic Incident_Unknown,0.0014004084654589263,1.001401389495288
Roadway-Work Zone_Unknown,0.0014004084654589263,1.001401389495288
Weather - Severe Wind_ ,0.0014004084654589263,1.001401389495288
Roadway-Wet Surface Condition_Unknown,0.0014004084654589263,1.001401389495288
