feature,coefficient,odds_ratio
CP Pre-Crash Movement_Parking Maneuver,-3.079873381815502,0.04596507629511073
Crash With_Pole / Tree,2.700050659984931,14.880485550952045
automation_level_L2,2.4427607233961224,11.504758396487523
automation_level_ADS,-2.3639399521756235,0.09404894392407287
Crash With_Non-Motorist: Cyclist,-2.2868258700619344,0.10158840543725785
Crash With_Non-Motorist: Pedestrian,-2.0094308514793617,0.13406495583037098
CP Pre-Crash Movement_Merging,-1.7919251671392367,0.16663905263599318
SV Pre-Crash Movement_Parking Maneuver,-1.7390031703485285,0.17569545179037488
SV Pre-Crash Movement_Passing,1.6562491956587506,5.239621147683374
SV Pre-Crash Movement_Entering Traffic,-1.5968231996196576,0.2025389227854369
CP Pre-Crash Movement_NM in Roadway - Other,1.5689802251165754,4.80174899313916
Crash With_Bus,1.4486628879069239,4.2574180624430396
Crash With_Animal,-1.4418080969452698,0.2364997573759285
CP Pre-Crash Movement_NM Crossing Roadway,1.4290208196748606,4.174609494492234
CP Pre-Crash Movement_Unknown,1.3932795708735406,4.028038652942838
Crash With_Unknown,1.2221632551595245,3.3945230161456927
Crash With_Heavy Truck,1.11842810569516,3.0600403608426374
CP Pre-Crash Movement_Traveling Wrong Way,1.1012106360082365,3.007805177910684
Crash With_Non-Motorist: Other,-1.001343478028183,0.3673855350754912
SV Pre-Crash Movement_Lane / Road Departure,0.8542459483649942,2.3496019911992527
CP Pre-Crash Movement_Backing,-0.7709326931803999,0.46258142050875045
Weather - Severe Wind_ ,0.7619238073362461,2.1423938114326107
SV Pre-Crash Movement_Unknown,0.7419355604611503,2.099996253040066
CP Pre-Crash Movement_Entering Traffic,-0.7410660892389584,0.4766055405446352
SV Pre-Crash Movement_Merging,-0.732413901793713,0.4807471120085909
Roadway Type_Highway / Freeway,-0.6928323883398092,0.5001574208862032
Weather - Severe Wind_Y,-0.6831030361157884,0.5050473780857688
Crash With_Pickup Truck,0.6544942577932006,1.9241691377115584
Roadway Type_Unknown,-0.6337447035859448,0.5306011321384764
"CP Pre-Crash Movement_Other, see Narrative",0.6309938000929605,1.8794774763401516
SV Precrash Speed (MPH),0.6176358452557328,1.8545384391914712
Roadway Type_Rural Road,0.6114178006743887,1.8430426143141545
SV Pre-Crash Movement_Crossing into Opposing Lane,0.5133199174661272,1.6708290117310942
Crash With_Motorcycle,-0.49649387412104745,0.6086609649318544
Crash With_Passenger Car,0.4932010160481414,1.637549662068487
Crash With_Other Fixed Object,-0.4866472845840517,0.6146838031665945
