feature,coefficient,odds_ratio
Crash With_Animal,-1.9318699519688307,0.14487703193732174
CP Pre-Crash Movement_Parking Maneuver,-1.5966735681318092,0.2025692312532945
"Automation System Engaged?_Unknown, see Narrative",-1.2974234154973097,0.27323489964625364
Crash With_Heavy Truck,1.2791651467814917,3.59363831236264
Crash With_Bus,1.1461232281724585,3.1459730185611305
SV Pre-Crash Movement_Lane / Road Departure,1.1422702354834326,3.133874929412161
Crash With_Non-Motorist: Cyclist,-1.10975557474067,0.3296395234550536
CP Pre-Crash Movement_Traveling Wrong Way,1.059014162905067,2.8835268998117844
CP Pre-Crash Movement_Merging,-0.999072907811275,0.3682206574727891
Roadway Type_Highway / Freeway,-0.9514593543493923,0.3861770428836771
Automation System Engaged?_ADAS,0.7437294707706738,2.1037668390036903
Crash With_Pole / Tree,0.7189941358295561,2.05236776883783
CP Pre-Crash Movement_Backing,-0.7158034075754491,0.48879924898347593
CP Pre-Crash Movement_Entering Traffic,-0.7080001598989488,0.4926283910293673
CP Pre-Crash Movement_NM in Roadway - Other,0.6773054699963117,1.968566218687327
CP Pre-Crash Movement_Unknown,0.6570259733634394,1.9290467584461626
SV Pre-Crash Movement_Entering Traffic,-0.6345247896778985,0.5301873789774454
SV Pre-Crash Movement_Passing,0.6141382607374559,1.8480633644194946
Crash With_Pickup Truck,0.6106476908101054,1.841623815402216
Crash With_Motorcycle,-0.554845727236858,0.5741608317422497
CP Pre-Crash Movement_Proceeding Straight,0.5323949084120795,1.7030059719742636
Crash With_Non-Motorist: Other,-0.5264613283628794,0.5906915390545906
Roadway Type_Rural Road,0.5249359793206018,1.6903506275193467
Automation System Engaged?_ADS,0.512778703512066,1.6699249804143437
CP Pre-Crash Movement_Making Left Turn,0.5061099671938598,1.658825741132617
SV Pre-Crash Movement_Stopped,-0.4865923378574473,0.6147175789574013
CP Pre-Crash Movement_NM Crossing Roadway,0.4749479317647716,1.6079304732040043
SV Pre-Crash Movement_Merging,-0.442451011401057,0.6424598134033531
Crash With_Passenger Car,0.4245813730744694,1.5289502259391887
CP Pre-Crash Movement_Crossing into Opposing Lane,0.4035831974003757,1.4971797884637965
SV Pre-Crash Movement_Making Left Turn,0.3665555944940336,1.4427566076443517
Report Month,0.3362290187441154,1.3996595363771616
Weather - Severe Wind_Y,-0.3262752582161213,0.7216065319654652
"CP Pre-Crash Movement_Other, see Narrative",0.31614715113519887,1.3718321074262279
SV Pre-Crash Movement_Parking Maneuver,-0.3056111013835365,0.7366730548871502
Weather - Snow_Y,-0.29773993639154006,0.7424944104169932
Weather - Fog/Smoke/Haze_Y,-0.29568198733133494,0.7440239994594474
Weather - Severe Wind_ ,0.2853600170015578,1.3302408512466846
SV Pre-Crash Movement_Proceeding Straight,0.27891121893174126,1.3216899976106584
SV Pre-Crash Movement_Making Right Turn,-0.26793804354676864,0.7649551735441489
Crash With_First Responder Vehicle,-0.2635012019250838,0.7683566989314837
Weather - Snow_ ,0.25682469517698897,1.2928184695798906
Weather - Fog/Smoke/Haze_ ,0.25476674611678357,1.2901606507912642
Roadway Type_Parking Lot,0.22229893583077656,1.2489446763797802
CP Pre-Crash Movement_Stopped,-0.21848794067082558,0.8037331718691019
SV Pre-Crash Movement_Changing Lanes,-0.21497444118566106,0.8065620546836931
SV Precrash Speed (MPH),0.21417562189880912,1.2388402031585644
CP Pre-Crash Movement_Changing Lanes,-0.2012137120627019,0.8177376524778661
Crash With_Unknown,-0.19649513974270844,0.8216053244988188
"SV Pre-Crash Movement_Other, see Narrative",0.19223268176154665,1.2119524833981532
CP Pre-Crash Movement_Passing,-0.18884431413050168,0.8279153913892899
Roadway Type_Intersection,0.1724352805031617,1.188194918749203
"Crash With_Other, see Narrative",0.16663402295846874,1.1813218495104807
Crash With_SUV,0.1613367188863143,1.1750805740284767
Roadway Type_Traffic Circle,-0.1496008457995003,0.8610516002041265
SV Pre-Crash Movement_Making U-Turn,-0.13263041009831142,0.8757887149662816
Weather - Clear_ ,-0.1286972968075134,0.8792400740449806
Roadway Type_Street,0.12030283236965271,1.1278383458278618
CP Pre-Crash Movement_Parked,0.10346083939802765,1.1090023633145638
Weather - Cloudy_ ,-0.10279004046407986,0.9023164035278362
CP Pre-Crash Movement_Lane / Road Departure,-0.0989228238659018,0.9058126124416831
Weather - Clear_Y,0.08778205559296981,1.0917501552571633
SV Pre-Crash Movement_Parked,-0.07880887916617048,0.9242165446032968
CP Pre-Crash Movement_NM Moving on Sidewalk,-0.07802022294013133,0.9249457212324566
SV Pre-Crash Movement_Crossing into Opposing Lane,-0.07403045491601135,0.9286434116535172
Weather - Cloudy_Y,0.06187479924954617,1.0638291441825973
CP Pre-Crash Movement_Making Right Turn,0.05193876880172358,1.0533112450290647
Crash With_Non-Motorist: Pedestrian,0.05006143702900299,1.0513356853329185
Crash With_Other Fixed Object,-0.04881289908678534,0.9523593003248408
Roadway-Work Zone_Unknown,-0.040915241214555836,0.9599104873469156
Roadway-Traffic Incident_Unknown,-0.040915241214555836,0.9599104873469156
Roadway-Wet Surface Condition_Unknown,-0.040915241214555836,0.9599104873469156
Weather - Rain_Y,-0.03605363003590167,0.9645885611767665
Crash With_Van,0.03328282830741765,1.0338428979326577
Roadway Type_Unknown,0.020171930910153638,1.0203767592512478
CP Pre-Crash Movement_Making U-Turn,-0.017804554497852256,0.9823530100744394
SV Pre-Crash Movement_Unknown,0.012967213693422457,1.0130516525932565
SV Pre-Crash Movement_Backing,-0.010428977083332297,0.9896252161412558
Weather - Rain_ ,-0.004861611178658502,0.9951501873253111
