feature,gini,permutation_mean,permutation_std,mean_abs_shap
automation_level_L2,0.42994660513656957,0.025590131190703212,0.002607632675817734,0.1798131941356003
Report Month,0.09780332669540592,0.11081614008806581,0.003151647856420599,0.13718063473555117
automation_level_ADS,0.2030318804839594,0.0011538767079759093,0.0019118227456282097,0.08814347357977834
SV Precrash Speed (MPH),0.031007916340635672,0.006204605293022847,0.0007149246390495914,0.041954603442004405
Automation System Engaged?_ADS,0.10030990565947447,0.0008934245766944127,0.0012060830570515772,0.03222747921911436
Automation System Engaged?_ADAS,0.043791680292892446,-0.00027492169413039224,0.0008413043392545193,0.013933474400915632
CP Pre-Crash Movement_Unknown,0.016980206485116018,0.0024274819556040273,0.0005567834473329529,0.012447449619175037
Crash With_Non-Motorist: Cyclist,0.010025921673757338,0.003211108084797365,0.00020064543929885692,0.008662524584737067
SV Pre-Crash Movement_Stopped,0.002439935419366893,0.00019321122157158754,0.0011584597811756267,0.008081889871406166
Crash With_Heavy Truck,0.005195836364428615,0.0038996890462572155,0.0002616402289272236,0.007642117843963243
CP Pre-Crash Movement_Proceeding Straight,0.005281707497062589,0.002172136728857477,0.00041160510035977637,0.007553840099478803
SV Pre-Crash Movement_Proceeding Straight,0.0017660405211142303,0.00014270961005946603,0.0001627645165017699,0.003846788097879281
"Crash With_Other, see Narrative",0.002713942049874415,0.0018410390848427217,0.0005063781915952473,0.0032947462282510004
SV Pre-Crash Movement_Parked,0.002037299306384909,0.0013848222797222531,0.00026694339731242543,0.00328713046594365
Roadway Type_Unknown,0.0010139654330375161,-0.0013802828090244469,0.0010323471965953323,0.0026785210876721774
Roadway Type_Highway / Freeway,0.0022120806072460516,-0.0006562372327386434,0.0001876237808822214,0.002443890848230531
Crash With_Pickup Truck,0.001969636461323864,0.0007132643333787936,0.00026542836051155595,0.002385826569116341
Crash With_Motorcycle,0.002419919084675233,5.872940215174704e-05,0.00016663533005975732,0.002235330264577335
CP Pre-Crash Movement_Stopped,0.0018947724293528459,0.00017902537564127297,0.0003762030709552536,0.002194708207491279
Crash With_Passenger Car,0.002258688105080359,-0.00047579327250444334,0.0003209095465444163,0.0019825719990065483
Crash With_Bus,0.0011022677954679134,0.0009073267057062351,0.00024909085175845575,0.0019337356326404893
Roadway Type_Intersection,0.0011754958583402738,-0.0002300944209904676,3.8843322643113656e-05,0.0018779134232718604
Crash With_Non-Motorist: Pedestrian,0.004036421118550624,6.695719279132817e-05,2.9462878446040894e-05,0.00187151211417612
Crash With_Non-Motorist: Other,0.002338762501425965,0.0,0.0,0.0016831928702802114
Roadway Type_Street,0.0015973548627495047,-0.00017221616959461894,0.0005286999120247422,0.0016037328424080535
SV Pre-Crash Movement_Lane / Road Departure,0.001634551408081849,0.00028031231558405255,0.0003078983530282342,0.001290919303426042
CP Pre-Crash Movement_Passing,0.0009381253864996273,-0.00019661582459480355,0.00017883755633647897,0.0012082886249899782
Crash With_Other Fixed Object,0.0006347024191029922,-0.0001219982750011006,0.00016059730956070455,0.0011241841017475076
SV Pre-Crash Movement_Unknown,0.0005604493310258775,-0.00014441191157110733,0.0004742092140771822,0.0010807387537246518
Weather - Clear_Y,0.0009739252734273336,0.0004965046075628088,0.00020147297545802348,0.0010097810414149292
CP Pre-Crash Movement_Backing,0.000620604855844068,1.5604430523441514e-05,0.00011263240070636212,0.0009561250007082509
Weather - Clear_ ,0.000876394997428637,0.0007779517908212518,0.0002017436776035587,0.0008930091270506244
"SV Pre-Crash Movement_Other, see Narrative",0.0013161168654699244,-1.1632393662908135e-05,1.7150212515003754e-05,0.0007956332630620367
CP Pre-Crash Movement_Making Left Turn,0.0005505191263347906,-1.6455581279206654e-05,3.800747916683102e-05,0.0007784465464409604
CP Pre-Crash Movement_Traveling Wrong Way,0.0015906652430791753,9.192428162878574e-05,3.741837880762269e-05,0.0007703393990440976
Crash With_SUV,0.0012512421308029835,0.0005106904534931678,8.24879800673306e-05,0.0007244208251653793
CP Pre-Crash Movement_Parked,0.0010244211444251068,0.0005027463797721676,0.00030562726044848466,0.0006972790257457721
SV Pre-Crash Movement_Making Left Turn,0.0008688601066330925,-0.0002754891279675764,0.0007988298614561223,0.0006869152835698799
Weather - Cloudy_ ,0.0006442425135418496,2.5250805756105166e-05,0.000210185030357273,0.0006451117241583703
Crash With_Animal,0.0006310020335331591,0.00023293159017663269,5.775852140401826e-05,0.0006140253538484274
Weather - Cloudy_Y,0.0007734753572664251,0.00021363883971123876,5.836299073537823e-05,0.0005928247285657913
Roadway Type_Parking Lot,0.0009084544289090393,-4.738072540739768e-05,0.00010082374809942855,0.0005222017990658372
SV Pre-Crash Movement_Changing Lanes,0.0008821931184630526,-2.6385673430451285e-05,1.3355806318880611e-05,0.000508141348352473
Crash With_Unknown,0.0004329389428659416,0.00023037813790920402,0.0004712012745250026,0.0004968001505529053
CP Pre-Crash Movement_Entering Traffic,0.0005402394444488127,-7.433383267503313e-05,0.00016250219329212105,0.00047811431633075236
CP Pre-Crash Movement_Changing Lanes,0.00048800572245801823,-0.00015604430523392666,5.211440378017497e-05,0.00043251121017048974
SV Pre-Crash Movement_Making Right Turn,0.0005271570612286388,5.305506377963898e-05,0.00013330046235913697,0.0004172710071749957
Crash With_Van,0.0008724105577212569,4.425983930282929e-05,0.000187741296925891,0.000400932686447093
"CP Pre-Crash Movement_Other, see Narrative",0.0006551249205283794,-3.0641427209499025e-05,1.660653073980478e-05,0.0003648604115755622
"Automation System Engaged?_Unknown, see Narrative",0.0006242118108982289,0.0,0.0,0.000321121894738956
CP Pre-Crash Movement_Merging,0.0005740434528864662,1.078124290720961e-05,1.2090469240927733e-05,0.00030217978860235765
CP Pre-Crash Movement_Crossing into Opposing Lane,0.0006663997973835372,-0.0001080961459893226,4.109882192160952e-05,0.00029457916388413874
CP Pre-Crash Movement_Making Right Turn,0.0002635911692384591,-5.3338780698153344e-05,5.313617213037384e-05,0.00028122161123030336
CP Pre-Crash Movement_NM Crossing Roadway,0.0003197184461876287,-2.1846202732755948e-05,5.587566835587731e-05,0.0002516162638422712
SV Pre-Crash Movement_Parking Maneuver,0.0003440713699476786,-2.4967088837413164e-05,8.293856457663446e-05,0.00022950906680202564
Weather - Rain_Y,0.00036823780748216484,7.660356802419166e-06,3.386348918780306e-05,0.0002001786688118499
CP Pre-Crash Movement_Parking Maneuver,0.00035370010778377017,-3.347859639559747e-05,9.013807509452249e-05,0.00019866306269669632
CP Pre-Crash Movement_Lane / Road Departure,0.000353195237024071,-0.0001435607608152978,0.00021435259144311961,0.00019165251735522387
SV Pre-Crash Movement_Backing,0.000311494334733658,7.206409732627428e-05,6.617358816627934e-06,0.0001554879699571364
Weather - Rain_ ,0.00029796810144099646,-7.94407372097794e-06,3.1203702130944544e-05,0.00013816651738463826
Roadway Type_Rural Road,0.00031496419108904567,5.67433837221909e-06,5.383150041110746e-06,0.00011676350875980184
CP Pre-Crash Movement_NM in Roadway - Other,0.00023301927559953606,0.0,0.0,0.00010756673851882337
Crash With_Pole / Tree,3.1976583167040794e-05,-3.404603023238195e-06,1.6654932272718185e-05,5.628042294709367e-05
SV Pre-Crash Movement_Passing,6.465655665876638e-05,3.4046030233048087e-06,2.9210444587306457e-06,4.522032103186842e-05
SV Pre-Crash Movement_Crossing into Opposing Lane,0.00011333198807260827,5.674338372285703e-07,1.1348676744571407e-06,4.2697978129005784e-05
SV Pre-Crash Movement_Making U-Turn,5.6704524796560915e-05,0.0,0.0,2.450718874681456e-05
Roadway Type_Traffic Circle,0.0001039864665315901,0.0,0.0,2.1965534221520415e-05
SV Pre-Crash Movement_Merging,2.851538057420677e-05,-5.674338372063659e-07,1.1348676744127318e-06,1.3819546359947587e-05
Weather - Fog/Smoke/Haze_ ,1.001360038478912e-05,-5.674338372285703e-07,1.1348676744571407e-06,6.2950099449559795e-06
Weather - Fog/Smoke/Haze_Y,7.0555718442515194e-06,-5.674338372285703e-07,1.1348676744571407e-06,3.763797660862658e-06
CP Pre-Crash Movement_Making U-Turn,6.493998606272991e-06,1.1102230246251565e-16,0.0,3.4120115735648063e-06
Crash With_First Responder Vehicle,5.188778380438751e-06,0.0,0.0,1.8403323144657e-06
SV Pre-Crash Movement_Entering Traffic,5.237791554204368e-08,0.0,0.0,5.530060200890459e-07
CP Pre-Crash Movement_NM Moving on Sidewalk,1.8498960003420378e-08,0.0,0.0,1.060937485162632e-07
Weather - Snow_Y,6.937085766894649e-19,0.0,0.0,3.296484134842673e-19
SV Pre-Crash Movement_Traveling Wrong Way,5.092290919780817e-20,0.0,0.0,3.0632358856878026e-21
Weather - Snow_ ,0.0,0.0,0.0,0.0
Roadway-Wet Surface Condition_Unknown,0.0,0.0,0.0,0.0
Roadway Type_Unpaved Road,0.0,0.0,0.0,0.0
Weather - Severe Wind_ ,0.0,0.0,0.0,0.0
Roadway-Work Zone_Unknown,0.0,0.0,0.0,0.0
Weather - Severe Wind_Y,0.0,0.0,0.0,0.0
Roadway-Traffic Incident_Unknown,0.0,0.0,0.0,0.0
