feature,weight,gain,cover,mean_abs_shap
automation_level_ADS,81.0,146.5009002685547,152.60623168945312,1.4404913
Report Month,412.0,8.088380813598633,86.98687744140625,1.389986
SV Precrash Speed (MPH),868.0,1.3593696355819702,33.359493255615234,0.686418
CP Pre-Crash Movement_Unknown,111.0,2.2117648124694824,51.441951751708984,0.56162024
automation_level_L2,24.0,163.1019744873047,161.28076171875,0.43445072
Roadway Type_Unknown,51.0,0.8045971393585205,46.7580451965332,0.20433089
"Crash With_Other, see Narrative",84.0,1.1306565999984741,40.718868255615234,0.111645795
CP Pre-Crash Movement_Proceeding Straight,150.0,1.303291916847229,32.9396858215332,0.09178881
Crash With_Non-Motorist: Cyclist,85.0,3.4601476192474365,78.67560577392578,0.08831155
Roadway Type_Intersection,72.0,0.8132590651512146,28.13975715637207,0.07910363
SV Pre-Crash Movement_Proceeding Straight,99.0,0.7592135071754456,19.883089065551758,0.078487694
Crash With_Heavy Truck,73.0,1.6630562543869019,67.22237396240234,0.0780257
Automation System Engaged?_ADAS,37.0,5.476683139801025,26.79890251159668,0.077066205
Crash With_Pickup Truck,46.0,1.38784658908844,62.480979919433594,0.070977524
SV Pre-Crash Movement_Parked,42.0,1.417607307434082,67.29971313476562,0.06046153
Weather - Cloudy_ ,49.0,0.944022536277771,25.526586532592773,0.057276998
Roadway Type_Highway / Freeway,63.0,0.8168233036994934,20.42588996887207,0.055705164
Crash With_Passenger Car,108.0,0.7366454005241394,18.74305534362793,0.05263366
Automation System Engaged?_ADS,26.0,10.245064735412598,33.60316467285156,0.048652913
CP Pre-Crash Movement_Stopped,43.0,1.294042944908142,63.77435302734375,0.046593368
Crash With_Other Fixed Object,43.0,0.76800936460495,41.519195556640625,0.045204256
Crash With_Unknown,29.0,0.8108178377151489,25.78594970703125,0.04440864
Crash With_Non-Motorist: Pedestrian,75.0,2.0356879234313965,94.63912963867188,0.042692833
Weather - Clear_ ,96.0,0.6984691023826599,16.88290023803711,0.04245797
CP Pre-Crash Movement_Making Left Turn,41.0,0.913446307182312,58.169010162353516,0.04149972
Crash With_Motorcycle,47.0,2.1792728900909424,72.30008697509766,0.04110361
SV Pre-Crash Movement_Stopped,50.0,0.9982702732086182,39.7357292175293,0.04054613
Roadway Type_Street,94.0,0.7544627785682678,14.411262512207031,0.038272206
CP Pre-Crash Movement_Passing,22.0,1.5220093727111816,72.85897064208984,0.03171227
"CP Pre-Crash Movement_Other, see Narrative",44.0,0.638859212398529,27.11762046813965,0.031246928
Crash With_Non-Motorist: Other,52.0,1.7811261415481567,72.64799499511719,0.02860856
SV Pre-Crash Movement_Making Left Turn,44.0,0.8102231621742249,57.30941390991211,0.027961943
Weather - Rain_ ,14.0,1.2143086194992065,68.02962493896484,0.025719171
CP Pre-Crash Movement_Backing,23.0,0.705956757068634,42.733646392822266,0.020520758
"SV Pre-Crash Movement_Other, see Narrative",39.0,1.0062882900238037,41.410892486572266,0.019271838
Weather - Cloudy_Y,20.0,0.6131018996238708,16.61553192138672,0.017855981
CP Pre-Crash Movement_Traveling Wrong Way,30.0,1.1840699911117554,82.92054748535156,0.017166989
Weather - Rain_Y,8.0,1.0893802642822266,76.35533905029297,0.015588189
Crash With_Van,14.0,1.1209410429000854,72.62522888183594,0.014290641
Weather - Clear_Y,29.0,0.6941441297531128,13.810277938842773,0.013331133
Roadway Type_Parking Lot,23.0,0.9560097455978394,39.0624885559082,0.013097817
CP Pre-Crash Movement_Changing Lanes,14.0,0.7978960275650024,46.873069763183594,0.012259493
SV Pre-Crash Movement_Changing Lanes,17.0,0.8666526079177856,69.86430358886719,0.011714255
CP Pre-Crash Movement_Making Right Turn,12.0,0.6430526971817017,62.88584518432617,0.010842149
SV Pre-Crash Movement_Lane / Road Departure,17.0,1.36801278591156,53.700958251953125,0.010669876
SV Pre-Crash Movement_Unknown,12.0,0.5654596090316772,25.230337142944336,0.010599568
Crash With_SUV,33.0,0.8782697916030884,21.81142234802246,0.010056128
CP Pre-Crash Movement_Entering Traffic,12.0,0.846348226070404,81.36305236816406,0.008157717
Crash With_Bus,9.0,1.1763371229171753,101.05522155761719,0.007095977
"Automation System Engaged?_Unknown, see Narrative",22.0,0.8924227356910706,47.8676643371582,0.0058550583
CP Pre-Crash Movement_Parked,14.0,0.8634942770004272,81.14707946777344,0.003309682
SV Pre-Crash Movement_Making Right Turn,7.0,0.5692123174667358,41.776954650878906,0.0028543328
Crash With_Animal,3.0,0.8502213358879089,50.59437942504883,0.0013813921
CP Pre-Crash Movement_Crossing into Opposing Lane,2.0,0.6154656410217285,65.11275482177734,0.000752333
CP Pre-Crash Movement_Lane / Road Departure,2.0,0.394121378660202,71.73983764648438,0.00018932422
